,user_id,created_at
1,cfe705e9-0671-4859-a9f0-82e19b2b2955,2020-08-02
2,7603f064-8533-4320-8253-547c2d9c6668,2020-08-02
3,df567f86-f8c8-4b74-88fa-cb6fb556e4dc,2020-08-02
4,c79bb5de-5be9-4cd8-9c28-1890f8ba030c,2020-08-01
5,ee93bc3e-885e-46ce-8b9f-1c8376712ee0,2020-08-01
6,23382a7a-12c6-4f08-a4e6-f08a4f7ef400,2020-08-01
7,4d5bcd6c-bb29-4a1d-a8e4-54b352ddb9c2,2020-08-01
8,0a766115-bd10-40cf-a958-4044611bdad5,2020-07-31
9,26a02e61-8a16-49ac-9225-f9fffd75b332,2020-07-31
10,d34ac723-9e4f-4376-8ccf-c953f4b1e23f,2020-07-31
11,a510b3d7-fb89-4735-9b20-f9ef27d54255,2020-07-31
12,cc3e9bdc-e19b-4b0e-9b0c-0442d93da184,2020-07-31
13,a2693a55-2376-4ea3-b2e7-b1298b633dc7,2020-07-31
14,1dcd71db-b4c2-4639-95d5-7560d5a3ba1a,2020-07-31
15,258e1e8a-af1a-4966-b841-4baf32716ef7,2020-07-31
16,47d7090a-6af7-4d17-b1ad-a044770b44bb,2020-07-31
17,d8d243d7-9637-430e-9905-d223cd7b01c1,2020-07-31
18,fb3a7060-d66a-4f93-893f-d663d8d507e3,2020-07-31
19,d605ba1b-8623-4deb-968f-f2f2b0ffb941,2020-07-31
20,2a0f7a84-4f94-4318-a233-4c33b97af37d,2020-07-31
21,a151f881-150e-4b13-a5ff-8336f8b58438,2020-07-31
22,84a66b36-bf02-48ba-8f5f-2fe4faf78006,2020-07-31
23,02575645-b6d3-4102-aad7-d94188e71471,2020-07-31
24,c2b5dce9-0afe-433f-986d-532db73bc560,2020-07-31
25,bad095f5-1980-4f9d-82b3-5299e43ab43d,2020-07-30
26,e840d3d1-da3d-4df5-bf8b-b887c7131a2e,2020-07-30
27,83f665d3-bd0e-4160-83ad-edcd3649b8b0,2020-07-30
28,a45710b0-3b84-4522-97f8-dd95b958f3c8,2020-07-30
29,16353e67-d7f1-4fa2-8a6b-a72f464d56d7,2020-07-30
30,567d6e86-c662-4b5d-9d55-59f63ccda5c6,2020-07-30
31,809abdee-d8bb-42ea-977a-f27d8d0c74c6,2020-07-30
32,786c68aa-bd34-4b23-a6e6-827135f5b1db,2020-07-30
33,329df42c-847a-4b41-a2fd-da27d016ee3e,2020-07-30
34,3a6b235d-438e-4ad5-84dc-49a7dbb06034,2020-07-30
35,0533a783-5c74-4151-a943-3cebe80d5c06,2020-07-30
36,387453f9-7875-4140-b47f-5cc454f2d180,2020-07-30
37,091fcb5d-9ca3-468d-8117-229d6b24c443,2020-07-30
