user_id,reason,wallet_id
511863,e9y record expired,1372982966813928096
455290,e9y record expired,1321547687119487798
369189,e9y record expired,1197248876716270277
402451,e9y record expired,1241270095171907198
327902,e9y record expired,1116773539706729865
495243,e9y record expired,1352371789638642934
407910,e9y record expired,1250349791870340996
361638,e9y record expired,1179414109156192093
480262,e9y record expired,1336360653991265732
334011,e9y record expired,1131749898501696840
398382,e9y record expired,1308179402169487037
357014,e9y record expired,1236401612453028373
233104,e9y record expired,1238198805048090839
287518,e9y record expired,1083527984509041429
335177,e9y record expired,1132745984966187872
415665,e9y record expired,1261337648617052962
474464,e9y record expired,1341562565251975994
392111,e9y record expired,1248773210922227097
340223,e9y record expired,1198323469517502277
1827,e9y record expired,1239259842857676811
378335,e9y record expired,1254075128760754266
420127,e9y record expired,1268363282782140704
300318,e9y record expired,1076957421900464083
377081,e9y record expired,1257306811979813770
415691,e9y record expired,1261346803062574500
410617,e9y record expired,1261597426822213899
420924,e9y record expired,1321596757459549845
307249,e9y record expired,1326979783723085891
369632,e9y record expired,1194771311103374788
449449,e9y record expired,1304141800660087126
485752,e9y record expired,1342891449690030699
331712,e9y record expired,1146852765922538782
395068,e9y record expired,1278082358230910463
360117,e9y record expired,1175097994243120635
286051,e9y record expired,1062463645137754070
304228,e9y record expired,1082750221327465309
473407,e9y record expired,1329885230794586971
331362,e9y record expired,1204839969434151343
372174,e9y record expired,1217190322459850330
385158,e9y record expired,1213869971614962725
336664,e9y record expired,1146636449982612170
264300,e9y record expired,1172592375207686073
279984,e9y record expired,1204825251643871176
292727,e9y record expired,1074680570758883031
337994,e9y record expired,1139004466296412183
383291,e9y record expired,1210990724422118689
337808,e9y record expired,1176868183018971024
329153,e9y record expired,1119673485815664321
329645,e9y record expired,1121182673402619822
343143,e9y record expired,1247991966920961753
329311,e9y record expired,1120176962917543520
380065,e9y record expired,1210315247024078852
433457,e9y record expired,1299097719001324648
449515,e9y record expired,1303823265026096751
486241,e9y record expired,1343458462600114402
402611,e9y record expired,1242898978651082464
465486,e9y record expired,1339630113964500407
445630,e9y record expired,1341490391558693602
188713,e9y record expired,1304165957917507861
433763,e9y record expired,1302013665552915567
357079,e9y record expired,1233788409619507360
418596,e9y record expired,1325117259961539834
395732,e9y record expired,1240393835184953458
273178,e9y record expired,1101262120012425309
417536,e9y record expired,1271588527451724925
467314,e9y record expired,1328954071980272964
379308,e9y record expired,1205278202770691761
359418,e9y record expired,1199495068755400731
421422,e9y record expired,1269059080642852961
419345,e9y record expired,1273284491753546874
326889,e9y record expired,1329850896044332216
325022,e9y record expired,1213180833683062438
356718,e9y record expired,1207839498303527363
487319,e9y record expired,1354158977561371109
432933,e9y record expired,1286728951026563104
504326,e9y record expired,1364736062487146252
425863,e9y record expired,1278837168977832624
454249,e9y record expired,1308857530732743370
379901,e9y record expired,1224728757082774642
449042,e9y record expired,1304141479692082585
392390,e9y record expired,1224054861579608207
264559,e9y record expired,1238515195024334640
418227,e9y record expired,1293351680921855171
438735,e9y record expired,1292520901835500174
379616,e9y record expired,1238938906926780164
502726,e9y record expired,1378188326042353191
421760,e9y record expired,1269385414659826841
329726,e9y record expired,1213116299481928670
343482,e9y record expired,1171410114655496848
224931,e9y record expired,929020370345790456
374137,e9y record expired,1319309627773250012
332589,e9y record expired,1299734803375290164
473361,e9y record expired,1329874269039733416
364724,e9y record expired,1355613140287657141
396540,e9y record expired,1381239976224070105
430726,e9y record expired,1282889365997482794
403730,e9y record expired,1248004559515851377
266974,e9y record expired,1022718618927501252
378546,e9y record expired,1206328542321996095
408046,e9y record expired,1250567856144200209
433921,e9y record expired,1286475379088986891
333618,e9y record expired,1131622079185225278
323476,e9y record expired,1106286897178559270
347284,e9y record expired,1192685460303606660
326705,e9y record expired,1125459099796305237
363997,e9y record expired,1208179591237501829
371945,e9y record expired,1214934926846882637
391788,e9y record expired,1225116050231075883
390335,e9y record expired,1230673409434569897
354844,e9y record expired,1171108207581724266
277785,e9y record expired,1066409834123596458
418588,e9y record expired,1265800412805766417
292639,e9y record expired,1080458155341967380
450532,e9y record expired,1304551187818243602
330753,e9y record expired,1351878400134191793
482082,e9y record expired,1337813562250849416
454335,e9y record expired,1340135716170624512
373797,e9y record expired,1301709779961009395
480760,e9y record expired,1336733417232759613
389220,e9y record expired,1218759695568143833
248663,e9y record expired,1072887481520587212
225520,e9y record expired,1070681672417459863
394284,e9y record expired,1227626305379921967
360075,e9y record expired,1174991259303993774
379225,e9y record expired,1225243114354493278
292871,e9y record expired,1073677411867030330
371483,e9y record expired,1201903653205080376
364139,e9y record expired,1184514988233003141
263047,e9y record expired,1080136440203102360
331592,e9y record expired,1129089422074669494
356820,e9y record expired,1171770726657782102
263476,e9y record expired,1161049648714027083
270485,e9y record expired,1193186170247712236
323858,e9y record expired,1169030115511415032
224917,e9y record expired,1113604017135456695
307500,e9y record expired,1084851264948118596
358796,e9y record expired,1174720807411300645
349097,e9y record expired,1167765613560107925
257035,e9y record expired,1070700909226744078
322770,e9y record expired,1131194868475760337
302042,e9y record expired,1099349091017720562
318542,e9y record expired,1096186187828441877
262600,e9y record expired,1118812009970730983
332520,e9y record expired,1128188969075207731
292163,e9y record expired,1078333132443889990
297625,e9y record expired,1095701342539709298
264144,e9y record expired,1076492516710311395
312420,e9y record expired,1088413235816680867
452413,e9y record expired,1306684406123163717
472094,e9y record expired,1331617548127490716
484271,e9y record expired,1350529368064063292
224214,e9y record expired,1071087073414261165
332673,e9y record expired,1128787377595931199
362353,e9y record expired,1183016429594441108
302273,e9y record expired,1192155413650444624
377713,e9y record expired,1224550999328288050
396204,e9y record expired,1232932056457896198
401395,e9y record expired,1239965210358752063
390503,e9y record expired,1314396630997426070
389075,e9y record expired,1218600184259925829
331309,e9y record expired,1218588814816764446
415304,e9y record expired,1260975621403635228
435745,e9y record expired,1347072491792973250
450687,e9y record expired,1324815158958075895
411421,e9y record expired,1334934015858496633
430775,e9y record expired,1300129516487786019
403331,e9y record expired,1242885700577821617
394322,e9y record expired,1227652784062822672
337331,e9y record expired,1137244038331195192
355025,e9y record expired,1169726383465986909
422014,e9y record expired,1270037139608423534
411990,e9y record expired,1257742597428673383
399821,e9y record expired,1250321084734609871
339900,e9y record expired,1276208666479881075
266635,e9y record expired,1068582380444496476
267422,e9y record expired,1250924814763810200
285953,e9y record expired,1062421081177491715
247086,e9y record expired,1194513678560359007
291655,e9y record expired,1075895701543547630
373072,e9y record expired,1199412309425788110
485801,e9y record expired,1342901895554582130
458027,e9y record expired,1314687714290613025
487688,e9y record expired,1347603597561305571
421814,e9y record expired,1271509900147715419
328523,e9y record expired,1119322096418469833
437936,e9y record expired,1293478212150658294
382753,e9y record expired,1212038923630543938
335583,e9y record expired,1339053247954210434
425787,e9y record expired,1327026556816309398
354170,e9y record expired,1219364260893203422
467148,e9y record expired,1337145423557040584
401834,e9y record expired,1240364800500683712
365631,e9y record expired,1242064324044791924
366658,e9y record expired,1216154752273234873
388497,e9y record expired,1220170673823329222
486180,e9y record expired,1343308604398500504
454352,e9y record expired,1308956335489991512
373461,e9y record expired,1285705354956934202
484904,e9y record expired,1341856426408848798
368513,e9y record expired,1196813660095850425
440023,e9y record expired,1294236471119847605
472621,e9y record expired,1329526331062846663
