balance_transaction_id,created_utc,reporting_category,charge_id,payment_method_type,card_funding,payment_metadata[bill_uuid],payment_metadata[copay_passthrough],payment_metadata[recouped_fee],refund_metadata[bill_uuid],refund_metadata[copay_passthrough],refund_metadata[recouped_fee]
txn_3OWpwrKA296nhejw167g7nRn,2024-01-10 01:53:19,charge,py_3OWpwrKA296nhejw13CL54CY,us_bank_account,,aade8294-dd6b-4395-851b-5610ad78380d,106.27,0.00,,,
txn_3OWpwhKA296nhejw1eLloX0X,2024-01-10 01:53:20,charge,py_3OWpwhKA296nhejw1EkN7Qwe,us_bank_account,,d9a0241e-6ca3-4967-bc5c-68bb275832db,22.23,0.00,,,
txn_3OWpwpKA296nhejw1OfDNsmh,2024-01-10 01:53:20,charge,py_3OWpwpKA296nhejw1Ms4UBva,us_bank_account,,9792393a-7e94-447d-8c4f-34371d1e5a8f,272.16,0.00,,,
txn_3OWpwuKA296nhejw1fwLOw3i,2024-01-10 01:53:21,charge,py_3OWpwuKA296nhejw1ZE7GHCU,us_bank_account,,c8441585-010b-4c80-8383-84acdb9fb674,2840.40,0.00,,,
txn_3OWpwwKA296nhejw00mx1tdZ,2024-01-10 01:53:21,charge,py_3OWpwwKA296nhejw00dIEp9E,us_bank_account,,5689716a-40b5-4f28-81fe-e1356fa61d97,1489.70,0.00,,,
txn_3OWpwyKA296nhejw1GX127sY,2024-01-10 01:53:21,charge,py_3OWpwyKA296nhejw1McoBj43,us_bank_account,,86abbbf8-8f60-44c3-b05a-0b9cbf5b4439,453.60,0.00,,,
txn_3OWpwyKA296nhejw0M7nz8KK,2024-01-10 01:53:23,charge,py_3OWpwyKA296nhejw0oeIw7rw,us_bank_account,,4e593635-38d7-4ed4-9fd6-920465030365,96.75,0.00,,,
txn_3OWpwkKA296nhejw0FrZH4ym,2024-01-10 02:34:10,charge,py_3OWpwkKA296nhejw0kCOBj8P,us_bank_account,,8ac54d9e-07b1-426e-b706-b16ffa597464,2590.40,0.00,,,
txn_3OWpx3KA296nhejw0pRFEi45,2024-01-10 02:34:10,charge,py_3OWpx3KA296nhejw0qL5RR5s,us_bank_account,,0965698c-13de-4989-8e2e-0667eda127e2,96.75,0.00,,,
txn_3OWpwsKA296nhejw0O76hnxA,2024-01-10 02:34:25,charge,py_3OWpwsKA296nhejw0Pp95T5D,us_bank_account,,7e222c80-ae59-4da4-9d92-8d1074d2933c,99.90,0.00,,,
txn_3OWpx4KA296nhejw1QqnT0or,2024-01-10 02:34:35,charge,py_3OWpx4KA296nhejw1rZT0Ox8,us_bank_account,,a0be8e7b-4619-4eff-85b4-3d96ac35c848,72.23,0.00,,,
txn_1OX0W5KA296nhejwYDCmga3m,2024-01-10 12:04:16,topup,,,,,,,,,
txn_1OX7HJKA296nhejw2IlmruAX,2024-01-10 19:17:29,transfer,,,,,,,,,
txn_1OX7O1KA296nhejwodNNaRjh,2024-01-10 19:24:25,transfer,,,,,,,,,
txn_1OX7O1KA296nhejwrxyYAiYA,2024-01-10 19:24:25,transfer,,,,,,,,,
txn_1OX7O2KA296nhejwRyx0u85k,2024-01-10 19:24:25,transfer,,,,,,,,,
txn_1OX7O3KA296nhejwIi0PFLqt,2024-01-10 19:24:27,transfer,,,,,,,,,
txn_1OX7O3KA296nhejwPNIQbKLt,2024-01-10 19:24:27,transfer,,,,,,,,,
txn_1OX7O4KA296nhejw0bgWViEk,2024-01-10 19:24:28,transfer,,,,,,,,,
txn_1OX7O4KA296nhejw455inzFh,2024-01-10 19:24:28,transfer,,,,,,,,,
txn_1OX7O4KA296nhejwVkrXW24r,2024-01-10 19:24:28,transfer,,,,,,,,,
txn_1OX7O5KA296nhejw7yi5XF22,2024-01-10 19:24:29,transfer,,,,,,,,,
txn_1OX7O7KA296nhejwAUnY0dGG,2024-01-10 19:24:31,transfer,,,,,,,,,
txn_3OX0vUKA296nhejw1h5bDw57,2024-01-10 21:20:58,charge,py_3OX0vUKA296nhejw1PTnqYh8,us_bank_account,,c1a3473e-225c-453a-9ad8-8779616e4c68,0.80,0.00,,,
txn_3OXAGzKA296nhejw18KVBfmr,2024-01-11 00:03:48,charge,py_3OXAGzKA296nhejw19SApqD1,us_bank_account,,36d057d3-2fe8-49fb-98b1-6c0be6408ed9,50.00,0.00,,,
txn_1OXIX1KA296nhejwYf4HzDwE,2024-01-11 07:18:27,charge_failure,py_3OW8c6KA296nhejw1PPog3YX,us_bank_account,,d3f1182d-e88c-42a9-8648-a891f14c0d0a,1000.00,0.00,,,
txn_1OXNGbKA296nhejw1OwDzmDw,2024-01-11 12:21:49,transfer,,,,,,,,,
txn_1OXNOxKA296nhejwgJPV1Orv,2024-01-11 12:30:27,transfer,,,,,,,,,
txn_1OXNOyKA296nhejwGMNP2Hxa,2024-01-11 12:30:27,transfer,,,,,,,,,
txn_1OXNdHKA296nhejwNsr6AXLO,2024-01-11 12:45:15,transfer,,,,,,,,,
txn_1OXNkNKA296nhejwDOStiC0y,2024-01-11 12:52:35,transfer,,,,,,,,,
txn_1OXOBoKA296nhejwjuqarsgi,2024-01-11 13:20:56,transfer,,,,,,,,,
txn_3OXOL9KA296nhejw0YXSsqgs,2024-01-11 13:30:35,charge,ch_3OXOL9KA296nhejw0aRlEDsI,card,credit,00935032-8a8b-4d3a-a863-8283f07e3ad4,1012.70,30.38,,,
txn_1OXOfmKA296nhejwvnxud3tX,2024-01-11 13:51:54,transfer,,,,,,,,,
txn_1OXOuCKA296nhejwQ7h29k36,2024-01-11 14:06:48,transfer,,,,,,,,,
txn_3OXTS6KA296nhejw1denqcer,2024-01-11 21:02:21,charge,py_3OXTS6KA296nhejw1JOCdOpg,us_bank_account,,a5996cb6-5913-4f11-9851-5f6f2d27cc51,209.88,0.00,,,
txn_3OXTRnKA296nhejw0hJ0fAlw,2024-01-11 21:02:23,charge,py_3OXTRnKA296nhejw0GYbRrq5,us_bank_account,,38f046b6-7229-400b-97d3-628ed5f62a63,34.50,0.00,,,
txn_3OXUBFKA296nhejw16rqUt03,2024-01-11 21:09:12,charge,py_3OXUBFKA296nhejw1UTc4wv9,us_bank_account,,378bcce4-75c5-462d-8270-e728c71521c5,2640.40,0.00,,,
txn_3OXTDhKA296nhejw1hKdnhrL,2024-01-11 21:12:55,charge,py_3OXTDhKA296nhejw1GrlDIUX,us_bank_account,,ffe0b9aa-1133-4b4c-8434-ecef6926c09a,38.42,0.00,,,
txn_3OXNP4KA296nhejw07KHcCR0,2024-01-11 21:14:35,charge,py_3OXNP4KA296nhejw02S6LSDX,us_bank_account,,921b80bb-e6cc-4a73-814c-ad232b1d9df3,297.94,0.00,,,
txn_3OXU2eKA296nhejw1qIY6v1T,2024-01-11 21:15:28,charge,py_3OXU2eKA296nhejw1OHVdqc1,us_bank_account,,5cc181ed-38fb-4b7d-b5e0-27c10cc614ef,339.56,0.00,,,
txn_3OXU4nKA296nhejw0zavkNNy,2024-01-11 21:15:33,charge,py_3OXU4nKA296nhejw0ZL2XqRy,us_bank_account,,a72b1e24-c99a-474b-b1eb-7ae81d9289db,327.55,0.00,,,
txn_3OXU6iKA296nhejw1DTiRBzv,2024-01-11 21:15:38,charge,py_3OXU6iKA296nhejw1kCvm6Nr,us_bank_account,,bd870c73-b726-4172-b2fb-115cf8507140,460.00,0.00,,,
txn_3OXU8XKA296nhejw00MRmhBR,2024-01-11 21:15:43,charge,py_3OXU8XKA296nhejw0WKF7dcj,us_bank_account,,5ae8357b-32bb-47be-b35f-c9364b047509,794.50,0.00,,,
txn_3OXNOzKA296nhejw1Ef5okUT,2024-01-11 21:17:21,charge,py_3OXNOzKA296nhejw1x8BMcJo,us_bank_account,,0a6ca833-6ac2-473f-af3a-34690af04a1c,38.02,0.00,,,
txn_3OXNP2KA296nhejw0Wy4pjKl,2024-01-11 21:17:21,charge,py_3OXNP2KA296nhejw0H6vJXCT,us_bank_account,,30d16985-9fa3-41b3-a3f2-7190c4b80181,116.10,0.00,,,
txn_3OXNP8KA296nhejw1e8b2djO,2024-01-11 21:17:21,charge,py_3OXNP8KA296nhejw1eaqOaUc,us_bank_account,,2b0c267a-585c-4d99-b64b-46f433380360,404.80,0.00,,,
txn_3OXNPBKA296nhejw0M6Nql3A,2024-01-11 21:17:22,charge,py_3OXNPBKA296nhejw0t67fJzL,us_bank_account,,2aee87a2-1afd-4c40-86b8-4b42b0386f0d,865.15,0.00,,,
txn_3OXNPFKA296nhejw0JmyMI54,2024-01-11 21:17:22,charge,py_3OXNPFKA296nhejw0mfVyljV,us_bank_account,,ee1a9b90-5cb3-42d6-933f-4ca6caadc66b,710.10,0.00,,,
txn_3OXTYaKA296nhejw1rXzUqVD,2024-01-11 21:17:46,charge,py_3OXTYaKA296nhejw1lxWP0KS,us_bank_account,,5b85946e-dfa3-4781-81b9-2d165706d88f,78.94,0.00,,,
txn_3OXTRsKA296nhejw0CKfF8HH,2024-01-11 21:17:47,charge,py_3OXTRsKA296nhejw0XtrIITw,us_bank_account,,a25cb294-9c08-4666-8414-1ae38a8c5ec7,13.94,0.00,,,
txn_1OXjkRKA296nhejw4lpZIafS,2024-01-12 12:22:07,transfer,,,,,,,,,
txn_3OXkocKA296nhejw000FU0CN,2024-01-12 13:30:31,charge,ch_3OXkocKA296nhejw0pD98bvI,card,prepaid,5c8d83a2-e381-4147-bdd5-8b4cac89b40a,200.00,6.00,,,
txn_3OXkocKA296nhejw0BAudmZx,2024-01-12 13:30:31,charge,ch_3OXkocKA296nhejw0VgJzh28,card,debit,4d29df7b-0f5e-45bb-a66b-98375664b63c,48.15,1.44,,,
txn_3OXkocKA296nhejw12U6LgfB,2024-01-12 13:30:31,charge,ch_3OXkocKA296nhejw1BmjGBN5,card,credit,b3bf093d-c8e7-4fae-a9ed-9e98472beb4c,2000.00,60.00,,,
txn_3OXkogKA296nhejw0i6NnZbr,2024-01-12 13:30:34,charge,ch_3OXkogKA296nhejw0ldoxWN0,card,prepaid,5836a964-f03a-4424-9bd4-6ff811a5b76c,250.00,7.50,,,
txn_3OXkoiKA296nhejw1KntAHEy,2024-01-12 13:30:37,charge,ch_3OXkoiKA296nhejw1yYOnpJl,card,prepaid,984585ac-6849-4b19-b1fc-9a35bc0b6765,200.00,6.00,,,
txn_3OXkolKA296nhejw1hkl3fft,2024-01-12 13:30:39,charge,ch_3OXkolKA296nhejw1FLJwYHE,card,prepaid,81889a68-afb5-4a25-a99a-31f8aaf2d0ba,8.40,0.25,,,
txn_3OXkonKA296nhejw0AmGsBcB,2024-01-12 13:30:41,charge,ch_3OXkonKA296nhejw0StDrDN1,card,prepaid,67175330-63ee-443e-8d4d-1e859cd53343,50.00,1.50,,,
txn_1OXoM0KA296nhejwBQpTWXl8,2024-01-12 17:17:11,refund,py_3OWIuRKA296nhejw1BGdReNS,us_bank_account,,06453e2d-4119-4671-8031-d05bf845fd6e,575.00,0.00,37e495dc-98a7-417e-9a10-323ea583f0c0,-575.00,0.00
txn_1OXoPAKA296nhejw2XEu6SAk,2024-01-12 17:20:27,refund,py_3OWIuSKA296nhejw1UK5FDDv,us_bank_account,,571604cf-4541-4969-8260-7f9bea0c4c89,1025.00,0.00,761b01a2-efba-41a0-a3eb-4b89a1433195,-1025.00,0.00
